
> damage-viewer-web@0.1.0 test
> vitest run --config vitest.config.ts
 ✓ src/services/skillProcessClient.test.ts (2 tests) 18ms
 ✓ src/pages/admin/skills/triggers/skillHitFirstContactValue.test.ts (33 tests) 23ms
 ✓ src/services/statusClient.test.ts (18 tests) 26ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.oncePerUse.test.ts (8 tests) 6ms
 ✓ src/pages/admin/skills/overview/loadSkillBehaviorOverview.test.ts (4 tests) 64ms
 ✓ src/pages/admin/skills/effects/cooldownRemaining.test.ts (4 tests) 8ms
 ✓ src/pages/admin/skills/triggers/SkillTriggerRuntimeInputBindingEditorModal.test.ts (5 tests) 4ms
 ✓ src/services/numericValue.test.ts (36 tests) 20ms
 ✓ src/services/skillInternalStateClient.test.ts (2 tests) 21ms
 ✓ src/services/skillParameterClient.test.ts (2 tests) 17ms
 ✓ src/services/resourceImage.test.ts (6 tests) 7ms
 ✓ src/services/characterClient.test.ts (5 tests) 20ms
 ✓ src/engine/numericAdapter.test.ts (4 tests) 4ms
 ✓ src/engine/genericEngineClient.test.ts (4 tests) 6ms
 ✓ src/services/imageClient.test.ts (4 tests) 19ms
 ✓ src/services/skillFormulaClient.test.ts (2 tests) 19ms
 ✓ src/pages/admin/characters/authoringReferenceNames.test.ts (4 tests) 71ms
 ✓ src/pages/admin/skills/effects/vampForm.test.ts (5 tests) 9ms
 ✓ src/services/modifierZoneClient.test.ts (4 tests) 21ms
 ✓ src/services/runeClient.test.ts (13 tests) 23ms
 ✓ src/services/authoringLocation.test.ts (9 tests) 5ms
 ✓ src/services/skillClient.test.ts (3 tests) 17ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.summary.test.ts (9 tests) 4ms
 ✓ src/pages/admin/skills/triggers/skillHitSpellShieldValue.test.ts (11 tests) 11ms
 ✓ src/pages/admin/relations/imageRelationForm.test.ts (5 tests) 3ms
 ✓ src/pages/admin/skills/triggers/explicitTargetCondition.test.ts (5 tests) 8ms
 ✓ src/pages/admin/skills/triggers/movementSlow.test.ts (3 tests) 4ms
 ✓ src/pages/admin/relations/skillRelationForm.test.ts (13 tests) 4ms
 ✓ src/config/navigation.test.ts (2 tests) 3ms
 ✓ src/pages/admin/modifier-zones/modifierZoneForm.test.ts (4 tests) 3ms
 ✓ src/services/imageCache.test.ts (6 tests) 3ms
 ✓ src/pages/admin/skills/triggers/skillHitEnemyCondition.test.ts (5 tests) 7ms
 ✓ src/services/equipmentClient.test.ts (3 tests) 21ms
 ✓ src/services/skillCategoryClient.test.ts (3 tests) 19ms
 ✓ src/services/damageTypeClient.test.ts (3 tests) 16ms
 ✓ src/pages/admin/runes/runeForm.test.ts (4 tests) 3ms
 ✓ src/pages/admin/shared/referenceListModel.test.ts (2 tests) 3ms
 ✓ src/pages/admin/equipment/equipmentForm.test.ts (3 tests) 2ms
 ✓ src/pages/admin/skills/focusedSkill.test.ts (5 tests) 17ms
 ✓ src/services/gameVampClient.test.ts (11 tests) 24ms
 ✓ src/services/skillProcessMoment.test.ts (1 test) 2ms
 ✓ src/pages/admin/game-settings/gameVampForm.test.ts (9 tests) 4ms
 ✓ src/pages/admin/skills/authoringFocus.test.ts (3 tests) 3ms
 ✓ src/pages/admin/images/imageForm.test.ts (3 tests) 3ms
 ✓ src/services/apiClient.test.ts (2 tests) 15ms
 ✓ src/pages/admin/skill-categories/skillCategoryForm.test.ts (2 tests) 2ms
 ✓ src/pages/admin/skills/overview/mapWithConcurrency.test.ts (2 tests) 36ms
 ✓ src/pages/admin/damage-types/damageTypeForm.test.ts (2 tests) 3ms
 ✓ src/pages/admin/relations/representativeImageRequests.test.ts (3 tests) 2142ms
   ✓ table representative image requests > loads 900 rows with at most six in flight, including after a failed request 2131ms

 Test Files  88 passed (88)
      Tests  1072 passed (1072)
   Start at  10:13:01
   Duration  5.08s (transform 5.39s, setup 0ms, collect 12.43s, tests 3.38s, environment 19ms, prepare 8.18s)

