
> damage-viewer-web@0.1.0 test
> vitest run --config vitest.config.ts
 ✓ src/services/skillProcessClient.test.ts (2 tests) 22ms
 ✓ src/pages/admin/skills/triggers/SkillTriggerRuntimeInputBindingEditorModal.test.ts (5 tests) 5ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.oncePerUse.test.ts (8 tests) 8ms
 ✓ src/pages/admin/skills/triggers/skillHitFirstContactValue.test.ts (33 tests) 23ms
 ✓ src/pages/admin/skills/effects/cooldownRemaining.test.ts (4 tests) 8ms
 ✓ src/services/statusClient.test.ts (18 tests) 23ms
 ✓ src/services/skillInternalStateClient.test.ts (2 tests) 18ms
 ✓ src/pages/admin/skills/overview/loadSkillBehaviorOverview.test.ts (4 tests) 65ms
 ✓ src/services/skillParameterClient.test.ts (2 tests) 17ms
 ✓ src/services/characterClient.test.ts (5 tests) 19ms
 ✓ src/services/numericValue.test.ts (36 tests) 20ms
 ✓ src/services/resourceImage.test.ts (6 tests) 9ms
 ✓ src/engine/numericAdapter.test.ts (4 tests) 5ms
 ✓ src/services/skillClient.test.ts (3 tests) 22ms
 ✓ src/pages/admin/skills/triggers/skillHitSpellShieldValue.test.ts (11 tests) 11ms
 ✓ src/services/modifierZoneClient.test.ts (4 tests) 20ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.summary.test.ts (9 tests) 4ms
 ✓ src/engine/genericEngineClient.test.ts (4 tests) 6ms
 ✓ src/services/skillFormulaClient.test.ts (2 tests) 19ms
 ✓ src/services/imageClient.test.ts (4 tests) 20ms
 ✓ src/services/runeClient.test.ts (13 tests) 22ms
 ✓ src/pages/admin/skills/effects/vampForm.test.ts (5 tests) 6ms
 ✓ src/services/authoringLocation.test.ts (9 tests) 5ms
 ✓ src/pages/admin/characters/authoringReferenceNames.test.ts (4 tests) 66ms
 ✓ src/pages/admin/skills/triggers/movementSlow.test.ts (3 tests) 7ms
 ✓ src/pages/admin/skills/triggers/explicitTargetCondition.test.ts (5 tests) 9ms
 ✓ src/pages/admin/relations/imageRelationForm.test.ts (5 tests) 3ms
 ✓ src/config/navigation.test.ts (2 tests) 4ms
 ✓ src/pages/admin/relations/skillRelationForm.test.ts (13 tests) 4ms
 ✓ src/services/imageCache.test.ts (6 tests) 3ms
 ✓ src/pages/admin/modifier-zones/modifierZoneForm.test.ts (4 tests) 3ms
 ✓ src/services/skillCategoryClient.test.ts (3 tests) 16ms
 ✓ src/pages/admin/skills/triggers/skillHitEnemyCondition.test.ts (5 tests) 8ms
 ✓ src/services/equipmentClient.test.ts (3 tests) 18ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.draftKeys.test.ts (4 tests) 12ms
 ✓ src/services/damageTypeClient.test.ts (3 tests) 17ms
 ✓ src/pages/admin/runes/runeForm.test.ts (4 tests) 3ms
 ✓ src/pages/admin/skills/focusedSkill.test.ts (5 tests) 17ms
 ✓ src/pages/admin/equipment/equipmentForm.test.ts (3 tests) 3ms
 ✓ src/pages/admin/shared/referenceListModel.test.ts (2 tests) 3ms
 ✓ src/pages/admin/game-settings/gameVampForm.test.ts (9 tests) 4ms
 ✓ src/pages/admin/skills/authoringFocus.test.ts (3 tests) 2ms
 ✓ src/services/gameVampClient.test.ts (11 tests) 17ms
 ✓ src/services/skillProcessMoment.test.ts (1 test) 3ms
 ✓ src/pages/admin/skills/overview/mapWithConcurrency.test.ts (2 tests) 39ms
 ✓ src/services/apiClient.test.ts (2 tests) 16ms
 ✓ src/pages/admin/images/imageForm.test.ts (3 tests) 3ms
 ✓ src/pages/admin/skill-categories/skillCategoryForm.test.ts (2 tests) 2ms
 ✓ src/pages/admin/damage-types/damageTypeForm.test.ts (2 tests) 3ms
 ✓ src/pages/admin/relations/representativeImageRequests.test.ts (3 tests) 2194ms
   ✓ table representative image requests > loads 900 rows with at most six in flight, including after a failed request 2180ms

 Test Files  89 passed (89)
      Tests  1084 passed (1084)
   Start at  11:32:50
   Duration  5.88s (transform 12.06s, setup 0ms, collect 19.57s, tests 3.46s, environment 14ms, prepare 9.23s)

