key,parent_key,name,applies_to,source
control_root,control_type,禁锢,skill|equipment,local.skill_classification
control_knockup,control_type,击飞,skill|equipment,local.skill_classification
control_knockback,control_type,击退,skill|equipment,local.skill_classification
control_fear,control_type,恐惧,skill|equipment,local.skill_classification
control_suppression,control_type,压制,skill|equipment,local.skill_classification
control_silence,control_type,沉默,skill|equipment,local.skill_classification
control_charm,control_type,魅惑,skill|equipment,local.skill_classification
control_airborne,control_type,腾空,skill|equipment,local.skill_classification
control_taunt,control_type,嘲讽,skill|equipment,local.skill_classification
control_blind,control_type,致盲,skill|equipment,local.skill_classification
control_ground,control_type,缚地,skill|equipment,local.skill_classification
control_sleep,control_type,睡眠,skill|equipment,local.skill_classification
control_polymorph,control_type,变形,skill|equipment,local.skill_classification
control_disarm,control_type,缴械,skill|equipment,local.skill_classification
shield_type,,护盾类型,skill|equipment,modeling.lol_system
shield_type_all_damage,shield_type,通用伤害护盾,skill|equipment,modeling.lol_system
shield_type_physical,shield_type,物理护盾,skill|equipment,modeling.lol_system
shield_type_magic,shield_type,魔法护盾,skill|equipment,modeling.lol_system
shield_type_spellshield,shield_type,法术护盾,skill|equipment,modeling.lol_system
shield_type_self,shield_type,自身护盾,skill|equipment,modeling.mvp
shield_type_ally,shield_type,友方护盾,skill|equipment,modeling.mvp
recovery_type,,回复类型,skill|equipment,modeling.lol_system
recovery_self_heal,recovery_type,自我治疗,skill|equipment,local.skill_classification
recovery_ally_heal,recovery_type,友方治疗,skill|equipment,modeling.lol_system
recovery_hp_regen,recovery_type,生命回复,skill|equipment,local.attributes
recovery_mana_regen,recovery_type,法力回复,skill|equipment,local.attributes
recovery_energy_regen,recovery_type,能量回复,skill|equipment,local.attributes
recovery_lifesteal,recovery_type,生命偷取,skill|equipment,local.attributes
recovery_omnivamp,recovery_type,全能吸血,skill|equipment,local.attributes
recovery_on_kill,recovery_type,击杀回复,skill|equipment,modeling.lol_system
crit_type,,暴击类型,skill|equipment,modeling.lol_system
crit_type_basic_attack,crit_type,普攻暴击,skill|equipment,modeling.lol_system
crit_type_skill,crit_type,技能暴击,skill|equipment,modeling.lol_system
crit_type_on_hit,crit_type,攻击特效可暴击,skill|equipment,local.item_data
crit_type_damage_multiplier,crit_type,暴击倍率提升,skill|equipment,local.attributes
crit_type_chance_bonus,crit_type,暴击概率提升,skill|equipment,local.attributes
crit_type_conversion,crit_type,暴击转属性/转收益,skill|equipment,modeling.lol_system
attack_modifier_type,,攻击修饰类型,skill|equipment,modeling.lol_system
attack_modifier_on_hit,attack_modifier_type,攻击特效,skill|equipment,local.item_tags
attack_modifier_pre_hit_bonus,attack_modifier_type,攻击前置附伤,skill|equipment,local.item_data
attack_modifier_reset,attack_modifier_type,攻击重置,skill|equipment,local.skill_data
attack_modifier_double_hit,attack_modifier_type,双击/额外命中,skill|equipment,modeling.lol_system
attack_modifier_replacement,attack_modifier_type,普攻替代,skill|equipment,modeling.mvp
attack_modifier_splash,attack_modifier_type,溅射普攻,skill|equipment,modeling.mvp
attack_modifier_spellblade,attack_modifier_type,咒刃,skill|equipment,local.item_groups
attack_modifier_triggered_enhance,attack_modifier_type,触发型普攻强化,skill|equipment,modeling.lol_system
survivability_type,,生存状态类型,skill|character|equipment,modeling.lol_system
survivability_stealth,survivability_type,隐形,skill|character|equipment,local.skill_classification
survivability_camouflage,survivability_type,伪装,skill|character|equipment,local.skill_classification
survivability_untargetable,survivability_type,不可选取,skill|character|equipment,local.skill_classification
survivability_invulnerable,survivability_type,无敌,skill|character|equipment,local.skill_classification
survivability_cc_immunity,survivability_type,霸体/免控,skill|character|equipment,local.skill_classification
survivability_revive,survivability_type,复活,skill|character|equipment,local.skill_classification
survivability_death_defy,survivability_type,免死,skill|character|equipment,local.skill_classification
survivability_damage_reduction,survivability_type,伤害减免,skill|character|equipment,modeling.lol_system
movement_type,,位移类型,skill|equipment,modeling.lol_system
movement_dash,movement_type,冲刺,skill|equipment,modeling.lol_system
movement_blink,movement_type,瞬移,skill|equipment,modeling.lol_system
movement_leap,movement_type,跳跃,skill|equipment,modeling.lol_system
movement_follow,movement_type,位移跟随,skill|equipment,modeling.lol_system
movement_pull,movement_type,牵引/拉拽,skill|equipment,modeling.lol_system
movement_knockback,movement_type,击退位移,skill|equipment,modeling.lol_system
movement_teleport,movement_type,传送,skill|equipment,modeling.lol_system
resource_type,,资源类型,skill|character,local.skill_classification
resource_none,resource_type,无消耗,skill|character,local.skill_classification
resource_mana,resource_type,法力,skill|character,local.skill_classification
resource_energy,resource_type,能量,skill|character,local.skill_classification
resource_health,resource_type,生命,skill|character,local.skill_classification
resource_heat,resource_type,热量,skill|character,local.skill_classification
resource_rage_like,resource_type,怒气/斗志/狂怒,skill|character,modeling.lol_system
resource_special,resource_type,特殊资源,skill|character,local.skill_classification
resource_ammo,resource_type,充能/弹药,skill|character,local.skill_classification
trigger_type,,触发类型,skill|equipment,local.item_skill
trigger_before_attack,trigger_type,普攻前触发,skill|equipment,local.item_skill
trigger_on_attack_hit,trigger_type,普攻命中触发,skill|equipment,local.item_skill
trigger_on_skill_cast,trigger_type,技能施放触发,skill|equipment,local.item_skill
trigger_on_skill_hit,trigger_type,技能命中触发,skill|equipment,modeling.mvp
trigger_on_damage_taken,trigger_type,受伤触发,skill|equipment,modeling.lol_system
trigger_on_damage_dealt,trigger_type,造成伤害触发,skill|equipment,modeling.lol_system
trigger_on_kill,trigger_type,击杀触发,skill|equipment,modeling.lol_system
trigger_on_assist,trigger_type,助攻触发,skill|equipment,modeling.lol_system
trigger_on_crit,trigger_type,暴击触发,skill|equipment,local.item_skill
trigger_on_move,trigger_type,移动触发,skill|equipment,modeling.lol_system
trigger_battle_start,trigger_type,战斗开始触发,skill|equipment,local.item_skill
trigger_low_hp,trigger_type,低生命值触发,skill|equipment,modeling.lol_system
trigger_on_cc_hit,trigger_type,控制命中触发,skill|equipment,modeling.lol_system
trigger_after_ultimate_cast,trigger_type,终极技能施放后触发,skill|equipment,local.item_data
equipment_tag_type,,装备标签类型,equipment,local.item_tags
equipment_tag_health,equipment_tag_type,生命值类,equipment,local.item_tags
equipment_tag_ability_haste,equipment_tag_type,技能急速类,equipment,local.item_tags
equipment_tag_damage,equipment_tag_type,攻击力类,equipment,local.item_tags
equipment_tag_spell_damage,equipment_tag_type,法术强度类,equipment,local.item_tags
equipment_tag_cdr,equipment_tag_type,冷却缩减类,equipment,local.item_tags
equipment_tag_armor,equipment_tag_type,护甲类,equipment,local.item_tags
equipment_tag_nonboots_movement,equipment_tag_type,非鞋移动速度类,equipment,local.item_tags
equipment_tag_on_hit,equipment_tag_type,攻击特效类,equipment,local.item_tags
equipment_tag_mana_regen,equipment_tag_type,法力回复类,equipment,local.item_tags
equipment_tag_active,equipment_tag_type,主动效果类,equipment,local.item_tags
equipment_tag_attack_speed,equipment_tag_type,攻击速度类,equipment,local.item_tags
equipment_tag_spell_block,equipment_tag_type,法术格挡类,equipment,local.item_tags
equipment_tag_armor_pen,equipment_tag_type,护甲穿透类,equipment,local.item_tags
equipment_tag_lane,equipment_tag_type,对线起始类,equipment,local.item_tags
equipment_tag_health_regen,equipment_tag_type,生命回复类,equipment,local.item_tags
equipment_tag_critical_strike,equipment_tag_type,暴击类,equipment,local.item_tags
equipment_tag_mana,equipment_tag_type,法力类,equipment,local.item_tags
equipment_tag_lifesteal,equipment_tag_type,生命偷取类,equipment,local.item_tags
equipment_tag_consumable,equipment_tag_type,消耗品类,equipment,local.item_tags
equipment_tag_magic_pen,equipment_tag_type,魔法穿透类,equipment,local.item_tags
equipment_tag_slow,equipment_tag_type,减速类,equipment,local.item_tags
equipment_tag_gold_per,equipment_tag_type,金币成长类,equipment,local.item_tags
equipment_tag_tenacity,equipment_tag_type,韧性类,equipment,local.item_tags
equipment_tag_spell_vamp,equipment_tag_type,法术吸血类,equipment,local.item_tags
equipment_tag_magic_resist,equipment_tag_type,魔法抗性类,equipment,local.item_tags
equipment_tag_boots,equipment_tag_type,鞋类,equipment,local.item_tags
equipment_tag_vision,equipment_tag_type,视野类,equipment,local.item_tags
equipment_tag_aura,equipment_tag_type,光环类,equipment,local.item_tags
equipment_tag_jungle,equipment_tag_type,打野类,equipment,local.item_tags
equipment_tag_trinket,equipment_tag_type,饰品类,equipment,local.item_tags
equipment_tag_stealth,equipment_tag_type,隐身类,equipment,local.item_tags
equipment_tier_type,,装备层级类型,equipment,modeling.lol_system
equipment_tier_starter,equipment_tier_type,起始装备,equipment,modeling.lol_system
equipment_tier_basic,equipment_tier_type,基础装备,equipment,modeling.lol_system
equipment_tier_epic,equipment_tier_type,史诗装备,equipment,modeling.lol_system
equipment_tier_legendary,equipment_tier_type,传说装备,equipment,modeling.lol_system
equipment_tier_prismatic,equipment_tier_type,棱彩装备,equipment,modeling.arena
equipment_tier_consumable,equipment_tier_type,消耗品,equipment,local.item_tags
equipment_tier_trinket,equipment_tier_type,饰品,equipment,local.item_tags
equipment_tier_mythic_legacy,equipment_tier_type,历史神话装备,equipment,local.item_groups
equipment_mechanic_type,,装备机制类型,equipment,modeling.lol_system
equipment_mechanic_active,equipment_mechanic_type,主动装备,equipment,local.item_tags
equipment_mechanic_unique_active,equipment_mechanic_type,唯一主动,equipment,modeling.lol_system
equipment_mechanic_unique_passive,equipment_mechanic_type,唯一被动,equipment,modeling.lol_system
equipment_mechanic_on_hit,equipment_mechanic_type,攻击特效装备,equipment,local.item_tags
equipment_mechanic_spellblade,equipment_mechanic_type,咒刃装备,equipment,local.item_groups
equipment_mechanic_lifeline,equipment_mechanic_type,救主/Lifeline装备,equipment,local.item_groups
equipment_mechanic_spellshield,equipment_mechanic_type,法术护盾装备,equipment,local.item_groups
equipment_mechanic_aura,equipment_mechanic_type,光环装备,equipment,local.item_tags
equipment_mechanic_qss,equipment_mechanic_type,水银/解控装备,equipment,local.item_groups
equipment_mechanic_penetration,equipment_mechanic_type,穿透系列装备,equipment,local.item_tags
equipment_mechanic_ultimate_synergy,equipment_mechanic_type,终极技能联动装备,equipment,local.item_data
equipment_mechanic_charge,equipment_mechanic_type,充能装备,equipment,modeling.lol_system
rune_path_type,,符文路径类型,type,modeling.lol_system
rune_path_precision,rune_path_type,精密,type,modeling.lol_system
rune_path_domination,rune_path_type,主宰,type,modeling.lol_system
rune_path_sorcery,rune_path_type,巫术,type,modeling.lol_system
rune_path_resolve,rune_path_type,坚决,type,modeling.lol_system
rune_path_inspiration,rune_path_type,启迪,type,modeling.lol_system
rune_slot_type,,符文槽位类型,type,modeling.lol_system
rune_slot_keystone,rune_slot_type,基石符文,type,modeling.lol_system
rune_slot_lesser,rune_slot_type,普通符文,type,modeling.lol_system
rune_slot_shard,rune_slot_type,属性碎片,type,modeling.lol_system
rune_effect_type,,符文效果类型,equipment|skill|type,modeling.lol_system
rune_effect_extended_fight,rune_effect_type,持续作战,equipment|skill|type,modeling.lol_system
rune_effect_burst,rune_effect_type,爆发伤害,equipment|skill|type,modeling.lol_system
rune_effect_sustain,rune_effect_type,续航回复,equipment|skill|type,modeling.lol_system
rune_effect_mobility,rune_effect_type,机动拉扯,equipment|skill|type,modeling.lol_system
rune_effect_defense,rune_effect_type,防御反打,equipment|skill|type,modeling.lol_system
rune_effect_cc_synergy,rune_effect_type,控制联动,equipment|skill|type,modeling.lol_system
rune_effect_resource,rune_effect_type,资源续航,equipment|skill|type,modeling.lol_system
rune_effect_economy,rune_effect_type,经济成长,equipment|skill|type,modeling.lol_system
rune_effect_haste,rune_effect_type,技能冷却/频率,equipment|skill|type,modeling.lol_system
rune_effect_summoner_spell,rune_effect_type,召唤师技能联动,equipment|skill|type,modeling.lol_system
rune_keystone_type,,MVP基石符文类型,equipment|type,local.mvp_scope
rune_keystone_conqueror,rune_keystone_type,征服者,equipment|type,local.mvp_scope
rune_keystone_lethal_tempo,rune_keystone_type,致命节奏,equipment|type,local.mvp_scope
hex_rarity_type,,海克斯强化稀有度类型,type|equipment,modeling.arena
hex_rarity_silver,hex_rarity_type,银色强化,type|equipment,modeling.arena
hex_rarity_gold,hex_rarity_type,金色强化,type|equipment,modeling.arena
hex_rarity_prismatic,hex_rarity_type,棱彩强化,type|equipment,modeling.arena
hex_effect_type,,海克斯强化效果类型,equipment|skill|type,modeling.arena
hex_effect_stat_bonus,hex_effect_type,属性强化,equipment|skill|type,modeling.arena
hex_effect_basic_attack,hex_effect_type,普攻强化,equipment|skill|type,modeling.arena
hex_effect_skill,hex_effect_type,技能强化,equipment|skill|type,modeling.arena
hex_effect_ultimate,hex_effect_type,终极技能强化,equipment|skill|type,modeling.arena
hex_effect_crit,hex_effect_type,暴击强化,equipment|skill|type,modeling.arena
hex_effect_heal_shield,hex_effect_type,护盾治疗强化,equipment|skill|type,modeling.arena
hex_effect_survival,hex_effect_type,生存防御强化,equipment|skill|type,modeling.arena
hex_effect_control,hex_effect_type,控制强化,equipment|skill|type,modeling.arena
hex_effect_equipment_synergy,hex_effect_type,装备联动强化,equipment|skill|type,modeling.arena
hex_effect_summoner_synergy,hex_effect_type,召唤师技能联动强化,equipment|skill|type,modeling.arena
hex_effect_economy,hex_effect_type,经济/商店强化,equipment|skill|type,modeling.arena
hex_effect_rule_override,hex_effect_type,特殊规则改写,equipment|skill|type,modeling.arena
hex_effect_pet_or_summon,hex_effect_type,召唤/宠物联动强化,equipment|skill|type,modeling.arena
