用途	对象	槽位	本机绝对路径	状态	来源
纯属性装备图标	红水晶		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1028_红水晶.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1028.png
纯属性装备图标	布甲		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1029_布甲.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1029.png
纯属性装备图标	锁子甲		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1031_锁子甲.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1031.png
纯属性装备图标	抗魔斗篷		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1033_抗魔斗篷.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1033.png
纯属性装备图标	长剑		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1036_长剑.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1036.png
纯属性装备图标	十字镐		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1037_十字镐.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1037.png
纯属性装备图标	暴风之剑		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1038_暴风之剑.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1038.png
纯属性装备图标	短剑		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1042_短剑.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1042.png
纯属性装备图标	增幅典籍		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1052_增幅典籍.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1052.png
纯属性装备图标	吸血鬼节杖		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1053_吸血鬼节杖.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1053.png
纯属性装备图标	多兰之刃		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1055_多兰之刃.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1055.png
纯属性装备图标	负极斗篷		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1057_负极斗篷.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1057.png
纯属性装备图标	无用大棒		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1058_无用大棒.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1058.png
纯属性装备图标	多兰之弓		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1086_多兰之弓.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1086.png
纯属性装备图标	钢铁印章		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\2019_钢铁印章.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/2019.png
纯属性装备图标	残暴之力		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\2020_残暴之力.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/2020.png
纯属性装备图标	掘道钻头		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\2021_掘道钻头.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/2021.png
纯属性装备图标	荧尘		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\2022_荧尘.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/2022.png
纯属性装备图标	狂战士胫甲		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3006_狂战士胫甲.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3006.png
纯属性装备图标	法师之靴		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3020_法师之靴.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3020.png
纯属性装备图标	冰川圆盾		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3024_冰川圆盾.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3024.png
纯属性装备图标	无尽之刃		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3031_无尽之刃.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3031.png
纯属性装备图标	最后的轻语		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3035_最后的轻语.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3035.png
纯属性装备图标	缚炉之斧		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3051_缚炉之斧.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3051.png
纯属性装备图标	带翼的月板甲		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3066_带翼的月板甲.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3066.png
纯属性装备图标	燃烧宝石		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3067_燃烧宝石.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3067.png
纯属性装备图标	狂热		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3086_狂热.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3086.png
纯属性装备图标	恶魔法典		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3108_恶魔法典.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3108.png
纯属性装备图标	水银之靴		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3111_水银之靴.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3111.png
纯属性装备图标	以太精魂		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3113_以太精魂.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3113.png
纯属性装备图标	禁忌雕像		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3114_禁忌雕像.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3114.png
纯属性装备图标	考尔菲德的战锤		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3133_考尔菲德的战锤.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3133.png
纯属性装备图标	锯齿短匕		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3134_锯齿短匕.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3134.png
纯属性装备图标	虚空之杖		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3135_虚空之杖.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3135.png
纯属性装备图标	幽魂斗篷		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3211_幽魂斗篷.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3211.png
纯属性装备图标	晶体护腕		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\3801_晶体护腕.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/3801.png
纯属性装备图标	枯萎珠宝		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\4630_枯萎珠宝.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/4630.png
纯属性装备图标	班德尔玻璃镜		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\4642_班德尔玻璃镜.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/4642.png
纯属性装备图标	正午箭袋		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\6670_正午箭袋.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/6670.png
纯属性装备图标	剑翎		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\6690_剑翎.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/6690.png
