candidateKey,inventoryOrdinal,sourceKind,ownerId,skillKey,passiveName,pageId,wikiItemId,wikiEffectSlots,legacyClassification,resolvedBucket,sourceRef
hero_skill|hero_ashe|P|冰霜射击,10,hero_skill,hero_ashe,P,冰霜射击,ashe-p,,,needs_runtime_extension,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ashe-p.json@rev4038216 sha256:def2547f895e1533754e9265fd36f995a30258f11ca947cd737a70ea17df51da
hero_skill|hero_ashe|Q|射手的专注,11,hero_skill,hero_ashe,Q,射手的专注,ashe-q,,,needs_runtime_extension,migrated,数据参考/lol-wiki-current-champions/normalized/generic/ashe-q.json@rev4016907 sha256:3a6bf74888a0cc48333f5d9058feb129d5326eb3b898f76aa7740d61fdf5948b
hero_skill|hero_ashe|W|万箭齐发,12,hero_skill,hero_ashe,W,万箭齐发,ashe-w,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/ashe-w.json@rev4007430 sha256:7e12c2b27533ff696411e2eff05d7f5b5c9e3b1ad45f09e017df2a764abb5e28
hero_skill|hero_ashe|E|鹰击长空,13,hero_skill,hero_ashe,E,鹰击长空,ashe-e,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/ashe-e.json@rev3936951 sha256:218c7d2ecbf561f64b35a97e57f47a853a036a4923517eb278b572a7640dedc0
hero_skill|hero_ashe|R|魔法水晶箭,14,hero_skill,hero_ashe,R,魔法水晶箭,ashe-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ashe-r.json@rev4026934 sha256:1d9ccefa98a41e57a088e76aaca16f7a78141e7373616520e2d6ba13f450664f
hero_skill|hero_azir|P|恕瑞玛的传承,15,hero_skill,hero_azir,P,恕瑞玛的传承,azir-p,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/azir-p.json@rev3962342 sha256:729b83b1ac5fc8472dec4ae416d66aa6cbb10d53d869d84b45b0882d8b23a007
hero_skill|hero_azir|Q|狂沙猛攻,16,hero_skill,hero_azir,Q,狂沙猛攻,azir-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/azir-q.json@rev4024967 sha256:168e2568c6795859e68831eb23b59b62d249aceb07cf3740403b1616516b51f2
hero_skill|hero_azir|W|沙兵现身,17,hero_skill,hero_azir,W,沙兵现身,azir-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/azir-w.json@rev4043850 sha256:eda21de63ba2907f5b5406cbb54bd545b78abaae01ca7471ddf9b2a8ecef0ffa
hero_skill|hero_azir|E|流沙移形,18,hero_skill,hero_azir,E,流沙移形,azir-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/azir-e.json@rev4022609 sha256:2c5f2625e9c82b0a9edf181aa5c87e3ca855f105e6bd7b0acdf6b6d811e516bd
hero_skill|hero_azir|R|禁军之墙,19,hero_skill,hero_azir,R,禁军之墙,azir-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/azir-r.json@rev4042859 sha256:92cf30c1d9452936b24cb3e20c28bf1f417748db64a60ea382238db5212e8251
hero_skill|hero_caitlyn|P|爆头,20,hero_skill,hero_caitlyn,P,爆头,caitlyn-p,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-p.json@rev3982560 sha256:5f36d295e4099c5ee5a091b17f0db9f2a50819939a449e59b95d247baaac8251
hero_skill|hero_caitlyn|Q|和平使者,21,hero_skill,hero_caitlyn,Q,和平使者,caitlyn-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-q.json@rev4007583 sha256:6c40deba7b6e60ab9c06bc014a214a8be4319c4ddf22c550237b659f19307caf
hero_skill|hero_caitlyn|W|约德尔诱捕器,22,hero_skill,hero_caitlyn,W,约德尔诱捕器,caitlyn-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-w.json@rev4023135 sha256:4e500c2cc801672b4d110359d6710c9464f6a61e5d3f02f01965d4e90b3e4a6a
hero_skill|hero_caitlyn|E|90口径绳网,23,hero_skill,hero_caitlyn,E,90口径绳网,caitlyn-e,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-e.json@rev4007584 sha256:9357e7b28b05f738cd8049a2d10a115e4033a54123c0e71f55d1262a92884db2
hero_skill|hero_caitlyn|R|让子弹飞,24,hero_skill,hero_caitlyn,R,让子弹飞,caitlyn-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-r.json@rev3982561 sha256:08b488c97fc694d9a3de711ffd4ea0b95fc1746c3a11b9c44b878844e586e8a8
hero_skill|hero_corki|P|海克斯科技军备,25,hero_skill,hero_corki,P,海克斯科技军备,corki-p,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/corki-p.json@rev4003492 sha256:a37ac6e0fd7586b485bbe06f74401935d3b0b5a68eb48db2f0496def8d74b73c
hero_skill|hero_corki|Q|磷光炸弹,26,hero_skill,hero_corki,Q,磷光炸弹,corki-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/corki-q.json@rev4007588 sha256:e71a474ef6b4df1df4808b397c8bd0f42ce284234f3eb7603fab09cabd760365
hero_skill|hero_corki|W|瓦尔基里俯冲,27,hero_skill,hero_corki,W,瓦尔基里俯冲,corki-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/corki-w.json@rev4007589 sha256:85c17f1bedb345ca93539152df7e65cebe5524147de8d7907cb2f75e04c0decb
hero_skill|hero_corki|E|格林机枪,28,hero_skill,hero_corki,E,格林机枪,corki-e,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/corki-e.json@rev3948411 sha256:9f1e8aed9ad2dc3f3958a3de6fd62563a029a022aa0e0bb4dc13efea0b4b12a1
hero_skill|hero_corki|R|火箭轰击,29,hero_skill,hero_corki,R,火箭轰击,corki-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/corki-r.json@rev4042863 sha256:1c2da7a1ea6bd4904c498eeb823e75dbf0f1e354cf5fe22f72dee2bb09ac4845
hero_skill|hero_draven|P|德莱文联盟,30,hero_skill,hero_draven,P,德莱文联盟,draven-p,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/draven-p.json@rev4040578 sha256:a4e44f452a94a037da29672c279421bdf6a969b8f09d9897b5603e3e923051c9
hero_skill|hero_draven|Q|旋转飞斧,31,hero_skill,hero_draven,Q,旋转飞斧,draven-q,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/draven-q.json@rev3997560 sha256:c68bd17937d584b0f6e149a802c1748d1b62849092d82a267d501997b0a195ed
hero_skill|hero_draven|W|血性冲刺,32,hero_skill,hero_draven,W,血性冲刺,draven-w,,,out_of_scope_for_single_target_dps,migrated,数据参考/lol-wiki-current-champions/normalized/generic/draven-w.json@rev3982566 sha256:93626d85539c1b7c89ed06d6e006912595a8cb3fb37a02428fb29eecc74e788e
hero_skill|hero_draven|E|开道利斧,33,hero_skill,hero_draven,E,开道利斧,draven-e,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/draven-e.json@rev4034694 sha256:7bb6ebdc19413ef908e78fea01576d1184a66bc62fd6148120845573c1468e8d
hero_skill|hero_draven|R|冷血追命,34,hero_skill,hero_draven,R,冷血追命,draven-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/draven-r.json@rev4040576 sha256:e38551b6eeefa0306cd40a3e15473c8983075f88edbe007915e3d9213a08adce
hero_skill|hero_ezreal|P|咒能高涨,35,hero_skill,hero_ezreal,P,咒能高涨,ezreal-p,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/ezreal-p.json@rev3932280 sha256:5996c969e2d1b53b3c805737fa161b4a9e235d6e7b7c74899a6580de34ca77ba
hero_skill|hero_ezreal|Q|秘术射击,36,hero_skill,hero_ezreal,Q,秘术射击,ezreal-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ezreal-q.json@rev4013233 sha256:be5a24861dc53970c19378fe8bea17b242b5b406a588cebb32b0d59a4af4b533
hero_skill|hero_ezreal|W|精华跃动,37,hero_skill,hero_ezreal,W,精华跃动,ezreal-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ezreal-w.json@rev4013234 sha256:5e4b2a6704c958150aacbd17cc387d050290cf669ba109be0a48a97a25abf897
hero_skill|hero_ezreal|E|奥术跃迁,38,hero_skill,hero_ezreal,E,奥术跃迁,ezreal-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ezreal-e.json@rev3989862 sha256:7ac83f7eaa237641c478f2e3ffa1a2714f7da0644c8a488ab6a6f47b67e27347
hero_skill|hero_ezreal|R|精准弹幕,39,hero_skill,hero_ezreal,R,精准弹幕,ezreal-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/ezreal-r.json@rev4013235 sha256:e9d7f9d7411bcbb1ab00aeb89fe03a4fb8511625fc0a64266f5f63ced53580e0
hero_skill|hero_graves|P|新命运,40,hero_skill,hero_graves,P,新命运,graves-p,,,needs_manual_baseline,migrated,数据参考/lol-wiki-current-champions/normalized/generic/graves-p.json@rev4038342 sha256:553bda222e9e85f0eff6d4cba3b8723979a58b68fba9097d2dfa1bd373117aa8
hero_skill|hero_graves|Q|穷途末路,41,hero_skill,hero_graves,Q,穷途末路,graves-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/graves-q.json@rev4007501 sha256:c18840004febd305484392c882680939efe9fc609d4f733f81824439741345c5
hero_skill|hero_graves|W|烟幕弹,42,hero_skill,hero_graves,W,烟幕弹,graves-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/graves-w.json@rev3956197 sha256:20348473fe3441eb32ab656423f577a62a415fadf33fbdc6fcf576bc8b1d210d
hero_skill|hero_graves|E|快速拔枪,43,hero_skill,hero_graves,E,快速拔枪,graves-e,,,needs_runtime_extension,migrated,数据参考/lol-wiki-current-champions/normalized/generic/graves-e.json@rev4007744 sha256:ff4c65c5ce2a0ac1ae757271fbb924b35bf4eca1af0f4d07a69d865db901a4e1
hero_skill|hero_graves|R|终极爆弹,44,hero_skill,hero_graves,R,终极爆弹,graves-r,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/graves-r.json@rev4007499 sha256:834843a7722fc9463e21e8d636b8adc644c220928b90f7bb4afedbaa08f85dd1
hero_skill|hero_jayce|P|海克斯科技电容,45,hero_skill,hero_jayce,P,海克斯科技电容,jayce-p,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/jayce-p.json@rev4042868 sha256:8c8d6e36b01831ef1cca177a08f755b55be2f89831db4206525b3257ec03b136
hero_skill|hero_jayce|Q|苍穹之跃 / 电能震荡,46,hero_skill,hero_jayce,Q,苍穹之跃 / 电能震荡,jayce-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jayce-q.json@rev3989865 sha256:ea14cfb3e6057dd84039154cd8571e4ed41cec2a891c57f01e8607291795b71c
hero_skill|hero_jayce|W|闪电领域 / 超能电荷,47,hero_skill,hero_jayce,W,闪电领域 / 超能电荷,jayce-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jayce-w.json@rev3948933 sha256:291798195515d3bfbb9656ce35f660c59ac54831ba74d14d5e4b1a9aedd9f0fa
hero_skill|hero_jayce|E|雷霆一击 / 加速之门,48,hero_skill,hero_jayce,E,雷霆一击 / 加速之门,jayce-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jayce-e.json@rev3965179 sha256:53c88b19bc4bd06bf26ac6edabd4ce317dd9750b40455cd175d27be6ab274ef7
hero_skill|hero_jayce|R|墨丘利之炮 / 墨丘利之锤,49,hero_skill,hero_jayce,R,墨丘利之炮 / 墨丘利之锤,jayce-r,,,needs_runtime_extension,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jayce-r.json@rev3989867 sha256:5ef1aaf216a327c0aa1cc668944647fca887f43e6df2d8af1cb8c1b074709e98
hero_skill|hero_jhin|P|低语,50,hero_skill,hero_jhin,P,低语,jhin-p,,,needs_runtime_extension,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jhin-p.json@rev3998238 sha256:2ef6300374d29c05f039b78a3d750199cff0236f78c147064d434ee897db7cf5
hero_skill|hero_jhin|Q|曼舞手雷,51,hero_skill,hero_jhin,Q,曼舞手雷,jhin-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jhin-q.json@rev4007611 sha256:522c4b918067b4b035b6744eb3dc83ce64ba5d47f677ed8517fcb246111685f1
hero_skill|hero_jhin|W|致命华彩,52,hero_skill,hero_jhin,W,致命华彩,jhin-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jhin-w.json@rev4021795 sha256:14790ca09f6f320fc2fadc81c2fa7e783c7b81d48d792b7760494f2e8d788c65
hero_skill|hero_jhin|E|万众倾倒,53,hero_skill,hero_jhin,E,万众倾倒,jhin-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jhin-e.json@rev4007613 sha256:bbb264e884128852cd9b90fc1965638e0903f88a8da4a500220966c4ff5596c0
hero_skill|hero_jhin|R|完美谢幕,54,hero_skill,hero_jhin,R,完美谢幕,jhin-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jhin-r.json@rev4007615 sha256:6bfe695cbc8aec980b66db1ab4f998fd292ddc0619cb35beeda1d755f98d2cc0
hero_skill|hero_jinx|P|罪恶快感,55,hero_skill,hero_jinx,P,罪恶快感,jinx-p,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/jinx-p.json@rev3973632 sha256:395e0422810de1907b12a16eec824437b4121e64ab7814bcb6b763870afce7b9
hero_skill|hero_jinx|Q|枪炮交响曲！,56,hero_skill,hero_jinx,Q,枪炮交响曲！,jinx-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jinx-q.json@rev3992483 sha256:a4a11490d120a72ac8364ac1de8c1ea560badaa50f7cc5de3a4a4ab04b10186a
hero_skill|hero_jinx|W|震荡电磁波！,57,hero_skill,hero_jinx,W,震荡电磁波！,jinx-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jinx-w.json@rev3907092 sha256:8aa6ac3943076256fe6afea15f1dd6eebf892656be45784e2522abb6243f4d1f
hero_skill|hero_jinx|E|嚼火者手雷！,58,hero_skill,hero_jinx,E,嚼火者手雷！,jinx-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jinx-e.json@rev3993368 sha256:64562ed4adb34c932810970fd9b9c016b46329d6f956541d334c60d2bc9d83ee
hero_skill|hero_jinx|R|超究极死神飞弹！,59,hero_skill,hero_jinx,R,超究极死神飞弹！,jinx-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/jinx-r.json@rev4007616 sha256:17ec580b10e2e4e8a0650682afc52ea8fc2b79a9ffbe7b93e9361c4f5c710a87
hero_skill|hero_kaisa|P|体表活肤,60,hero_skill,hero_kaisa,P,体表活肤,kaisa-p,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kaisa-p.json@rev4038390 sha256:f7adc35c58f47d28f8bd098a1303cf5cfef5a414783cde389ecf07240e95515f
hero_skill|hero_kaisa|Q|艾卡西亚暴雨,61,hero_skill,hero_kaisa,Q,艾卡西亚暴雨,kaisa-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kaisa-q.json@rev4038389 sha256:49de9f47013759a95cad6b8e671efb61d3d8adac02901e70c902b59fc945f71b
hero_skill|hero_kaisa|W|虚空索敌,62,hero_skill,hero_kaisa,W,虚空索敌,kaisa-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kaisa-w.json@rev4034696 sha256:aa4ba76c6fa345c711651fa56d9b914d4ea8b7eb3ddfae79d7feb25470d7e3d1
hero_skill|hero_kaisa|E|极限超载,63,hero_skill,hero_kaisa,E,极限超载,kaisa-e,,,out_of_scope_for_single_target_dps,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kaisa-e.json@rev4038391 sha256:327dc441e84bf2b320dccbe9099b4e98bf42562529e95facd417fbbc27d99e24
hero_skill|hero_kaisa|R|猎手本能,64,hero_skill,hero_kaisa,R,猎手本能,kaisa-r,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/kaisa-r.json@rev4034697 sha256:26363a1044fc3c3b6fc956f17ca084458faadbe54ac1b49196004502447cfe5c
hero_skill|hero_kalista|P|武术姿态,65,hero_skill,hero_kalista,P,武术姿态,kalista-p,,,needs_runtime_extension,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/kalista-p.json@rev4024157 sha256:7013120001320afc36df5ec9f3cf7b30958bde563c5b85f32dff704c1f5fcd38
hero_skill|hero_kalista|Q|穿刺,66,hero_skill,hero_kalista,Q,穿刺,kalista-q,,,needs_manual_baseline,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kalista-q.json@rev3997075 sha256:90c490d921da436134c318249fa7d0038ceaa97dfb76e5bdaa0b330a43676a67
hero_skill|hero_kalista|W|哨兵,67,hero_skill,hero_kalista,W,哨兵,kalista-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kalista-w.json@rev4007621 sha256:d5b77c4c464ee11521130013b07ed004444bb20e442ee53379fd5ec9802c2e2d
hero_skill|hero_kalista|E|撕裂,68,hero_skill,hero_kalista,E,撕裂,kalista-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kalista-e.json@rev4004071 sha256:6b94b5174a623058abbee2e716ea59298a2ddc3b79741660b89faf4e6913ede7
hero_skill|hero_kalista|R|命运的召唤,69,hero_skill,hero_kalista,R,命运的召唤,kalista-r,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/kalista-r.json@rev4015001 sha256:939f9f6c32951755ca72bdedfd46846ec18da20991e1cc9275a642a063d3d69c
hero_skill|hero_kayle|P|登神长阶,70,hero_skill,hero_kayle,P,登神长阶,kayle-p,,,needs_runtime_extension,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kayle-p.json@rev4038393 sha256:57059ceeffcd2a5988c64b9ea63552a6c7837cc4dffb4c02803f288b7c629a81
hero_skill|hero_kayle|Q|耀焰冲击,71,hero_skill,hero_kayle,Q,耀焰冲击,kayle-q,,,out_of_scope_for_single_target_dps,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kayle-q.json@rev4005105 sha256:ded516de4861d88de21ba54de9a8723b654f424f1cc3f9dac30d06382ee1a87c
hero_skill|hero_kayle|W|星界恩典,72,hero_skill,hero_kayle,W,星界恩典,kayle-w,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/kayle-w.json@rev3997873 sha256:e3a13c31ef392b69d09506ddaca57190d577f95fdbd7a61a030b749e5afc334e
hero_skill|hero_kayle|E|星火符刃,73,hero_skill,hero_kayle,E,星火符刃,kayle-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kayle-e.json@rev3982990 sha256:2b0a053f7f651c1f822100256bc2126987de1ec4aa4003d7d4c761d132aca4b3
hero_skill|hero_kayle|R|圣裁之刻,74,hero_skill,hero_kayle,R,圣裁之刻,kayle-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kayle-r.json@rev3962015 sha256:58ddb9c5d041d7741263b05a24de93a123bc83bf7261bcfec77b8dba3042b21f
hero_skill|hero_kindred|P|千珏之印,75,hero_skill,hero_kindred,P,千珏之印,kindred-p,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kindred-p.json@rev3994253 sha256:9ac60eae427fac9ba279734dba2c01b34852eb0be84a01d95296328794afc14a
hero_skill|hero_kindred|Q|乱箭之舞,76,hero_skill,hero_kindred,Q,乱箭之舞,kindred-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kindred-q.json@rev4007746 sha256:283e590573c7df7385cf317dd4bf881f84af6227080f444ead1d3fd11bb9f3a0
hero_skill|hero_kindred|W|狼灵狂热,77,hero_skill,hero_kindred,W,狼灵狂热,kindred-w,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kindred-w.json@rev4038396 sha256:0bf8193ea5a15df5822b58d5a5412defe2a26f5fc8524100b14d0fe793f08185
hero_skill|hero_kindred|E|横生惧意,78,hero_skill,hero_kindred,E,横生惧意,kindred-e,,,needs_runtime_extension,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kindred-e.json@rev4022506 sha256:19b3fcaebacc7f41676122e57574eb3e4a91cbc838a915439c02f6cca79bf5b4
hero_skill|hero_kindred|R|羊灵生息,79,hero_skill,hero_kindred,R,羊灵生息,kindred-r,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/kindred-r.json@rev4024177 sha256:4504f638dee142c05bdf610df4e95661bfe6a06c0a9e3be1ea2c79814cef2def
hero_skill|hero_kogmaw|P|来自艾卡西亚的惊喜,80,hero_skill,hero_kogmaw,P,来自艾卡西亚的惊喜,kogmaw-p,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kogmaw-p.json@rev4038400 sha256:b2fce14041b308df48350e51bd49e4211798d39ba3343f1ada899ba7637bb583
hero_skill|hero_kogmaw|Q|腐蚀唾液,81,hero_skill,hero_kogmaw,Q,腐蚀唾液,kogmaw-q,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kogmaw-q.json@rev3960434 sha256:f651035612e1deeda77df641f5a0e21226ec74aeb4633e0f211780efc3f39a7d
hero_skill|hero_kogmaw|W|生化弹幕,82,hero_skill,hero_kogmaw,W,生化弹幕,kogmaw-w,,,already_covered,migrated,数据参考/lol-wiki-current-champions/normalized/generic/kogmaw-w.json@rev3949878 sha256:2992e04a65f8dbe84b21420c234ca202c5d3772e83fa4cc3bd673a1f5af3b982
hero_skill|hero_kogmaw|E|虚空淤泥,83,hero_skill,hero_kogmaw,E,虚空淤泥,kogmaw-e,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kogmaw-e.json@rev3965135 sha256:1dd448ea1985237f002dec43e2bf93d860eb976f7c98e75883254cb3cf70794b
hero_skill|hero_kogmaw|R|活体大炮,84,hero_skill,hero_kogmaw,R,活体大炮,kogmaw-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/kogmaw-r.json@rev4007636 sha256:32f8dd8d875aaf95cec2be9cfe4a5a5526881b956f2f23e06ab87dc331ca8641
hero_skill|hero_lucian|P|圣光银弹,85,hero_skill,hero_lucian,P,圣光银弹,lucian-p,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/lucian-p.json@rev4041164 sha256:2075552afd37574e37c167fb7f2d937d2cb00d24999b59dd494c15dd819cd158
