itemId,name,goldCost,purchasableMap11,adcCompleted,statKeys,skillRefs,dpsOperations,mechanismTags,coverageStatus,nextAction,evidenceRefs,textPreview
3039,阿塔玛的清算,2900,false,false,ability_haste;ad;armor;magic_resist,,,crit,special_or_non_map11,defer,,700生命值 20%暴击几率 10技能急速 大手 获得0-30%暴击几率，受益于你的额外生命值。
3040,炽天使之拥,2900,false,false,ability_haste;ap;mana,,,shield_or_heal;dot_or_duration,special_or_non_map11,defer,,70法术强度 1000法力 25技能急速 敬畏 获得0法术强度。 救主灵刃 (0秒) 在受到将使你的生命值跌到30%以下的伤害时，提供持续3秒的0护盾值。
3041,梅贾的窃魂卷,1500,true,false,ap;hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,击杀和助攻提供法术强度 20法术强度 100生命值 荣耀 参与击杀后提供荣耀层数，至多至25层。阵亡时损失10层荣耀。 每层荣耀提供5法术强度，并在10层或以上荣耀时提供10%移动速度。
3042,魔切,2900,false,false,ability_haste;ad;mana,,,on_hit;damage_modifier,special_or_non_map11,defer,,35攻击力 1000法力 15技能急速 敬畏 获得2%最大法力值的额外攻击力。 冲击 攻击会对英雄造成1.2%最大法力值的额外物理伤害攻击特效。 伤害型技能会对英雄造成3% - 4%最大法力值的额外物理伤害。
3044,净蚀,1100,true,false,ad;hp,,,on_hit;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,攻击和击杀会给予爆发性的加速效果 15攻击力 200生命值 狂怒 攻击会提供持续2秒的移动速度。
3046,幻影之舞,2650,true,true,attack_speed;crit_chance;ms_pct,,,crit;shield_or_heal,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,攻击敌方英雄时移动得更快，并在低血量时提供一层护盾。 65%攻击速度 25%暴击几率 10%移动速度 幽影华尔兹变为幽灵状态。
3047,铁板靴,1200,true,false,armor;ms_f,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,增强移动速度并减少即将到来的普攻伤害 25护甲 45移动速度 镀板 使即将到来的攻击伤害降低10%。
3050,基克的聚合,2200,true,false,ability_haste;armor;hp;magic_resist,,,active;slow_or_cc,map11_stats_present_non_adc_pool,defer_until_pool_selected,,在你施放终极技能时，为你和你的队友提供加成。 300生命值 25护甲 25魔法抗性 10技能急速 霜火风暴 施放你的终极技能时会召唤一个风暴环绕于你5秒。这个风暴对敌方英雄们造成每秒30魔法伤害和30%减速。
3051,缚炉之斧,1200,true,false,ad;attack_speed,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,20攻击力 20%攻击速度
3053,斯特拉克的挑战护手,3200,true,false,hp,,,damage_modifier;shield_or_heal;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,提供抵抗大额爆发伤害的护盾 400生命值 20%韧性 抓人双爪 获得额外攻击力。 救主灵刃 在受到将使你的生命值跌到30%以下的伤害时，提供持续4.5秒的不断衰减的护盾值。
3057,耀光,900,true,false,ability_haste,,,on_hit;damage_modifier;active;spellblade,future_full_item_passive_review,future_tooltip_review,,在施法后，为下次普攻提供加成效果 10技能急速 咒刃 施放技能后，你的下一次普通攻击会造成额外物理伤害攻击特效。
3065,振奋盔甲,2700,true,false,ability_haste;hp;magic_resist,,,shield_or_heal,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升生命值和治疗效果 400生命值 50魔法抗性 10技能急速 100%基础生命回复 无拘活力 你身上的治疗和护盾效果提升25%。
3066,带翼的月板甲,800,true,false,hp;ms_pct,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,200生命值 4%移动速度
3067,燃烧宝石,800,true,false,ability_haste;hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升生命值和冷却缩减 200生命值 10技能急速
3068,日炎圣盾,2700,true,false,ability_haste;armor;hp,,,dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,高护甲。持续对附近敌人造成伤害。定身敌人时可释放一道伤害性的火焰波 350生命值 50护甲 10技能急速 献祭 承受或造成伤害后，每秒对附近敌人造成魔法伤害，持续3秒。
3070,女神之泪,400,true,false,mana,,,on_hit;damage_modifier,future_full_item_passive_review,future_tooltip_review,,在花费法力时提升最大法力值 240法力 法力流 (8秒，最大4层) 技能在命中时会提供3最大法力值(对英雄时翻倍)，至多至360。 帮助之手 攻击会对小兵造成额外的5物理伤害。
3071,黑色切割者,3000,true,true,ability_haste;ad;hp,item_3071_black_cleaver_carve_dps_v2,item_3071_black_cleaver_carve_dps_v2:attacker:add_stack+stat_modifier,dot_or_duration,live_dps_passive_present,keep_regression,BatchC_stats;BatchP_target_equipment;BatchU_real_equipment,对敌人造成物理伤害时会减少目标的护甲 40攻击力 400生命值 20技能急速 切割 对英雄造成物理伤害时会将其护甲降低6%，持续6秒(可叠加5次)。 热烈 造成物理伤害时会提供持续2秒的20移动速度。
3072,饮血剑,3400,true,true,ad;life_steal,,,shield_or_heal,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,提供攻击力，生命偷取且生命偷取可过量治疗 80攻击力 15%生命偷取 灵液护盾 将来自你的生命偷取的溢出治疗效果转化为护盾值。
3073,海克斯注力刚壁,3000,true,true,ad;attack_speed;hp,,,active;charge;dot_or_duration,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,在花费法力时提升最大法力值 40攻击力 20%攻击速度 450生命值 海克斯充能 获得30终极技能急速。 过载 在施放你的终极技能后，获得持续8秒的50%攻击速度和20%移动速度。
3074,贪欲九头蛇,3300,true,true,ability_haste;ad;life_steal,,,on_hit,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,近战攻击会命中身边的敌人，造成伤害并回复生命值 65攻击力 15技能急速 12%生命偷取 顺劈 攻击会对附近的敌人们造成物理伤害。血斩 对你周围的敌人们造成物理伤害。 你的生命偷取会作用于此伤害。
3075,荆棘之甲,2700,true,false,armor;hp,item_3075_thornmail_thorns_dps_v2;item_3075_batch_r_hp_probe_dps_v2,item_3075_thornmail_thorns_dps_v2:target:damage;item_3075_batch_r_hp_probe_dps_v2:target:coefficient_modifier,dot_or_duration,live_dps_passive_present,keep_regression,BatchP_target_equipment;BatchR_coeff_probe,150生命值 75护甲 荆棘 在被一次攻击命中后，对攻击者造成魔法伤害，并且如果目标是英雄，还会施加持续3秒的40%重伤效果。
3076,棘刺背心,800,true,false,armor,,,dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,30护甲 荆棘 在被一次攻击命中后，对攻击者造成0魔法伤害并且如果目标是英雄，还会对其施加持续3秒的40%重伤效果。
3077,提亚马特,1200,true,false,ad,,,on_hit,future_full_item_passive_review,future_tooltip_review,,近战攻击会命中身边的敌人 20攻击力 顺劈 攻击会对附近的敌人们造成物理伤害。 新月 对你周围的敌人们造成物理伤害。
3078,Trinity Force,3333,true,true,ability_haste;ad;attack_speed;hp,item_3078_trinity_force_spellblade_dps_v2,item_3078_trinity_force_spellblade_dps_v2:attacker:damage,on_hit;damage_modifier;active;spellblade;dot_or_duration,live_dps_passive_present,keep_regression,BatchC_stats;BatchL_spellblade,成吨的伤害 36攻击力 30%攻击速度 333生命值 15技能急速 咒刃 施放技能后，你的下一次普通攻击会造成额外物理伤害攻击特效。 加快 攻击一个单位时会提供持续2秒的20移动速度。
3082,守望者铠甲,1000,true,false,armor,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,40护甲 坚如磐石 使所受的来自攻击的伤害降低。
3083,狂徒铠甲,3100,true,false,hp;ms_pct,,,damage_modifier,future_full_item_passive_review,future_tooltip_review,,提供巨量生命值和生命回复 1000生命值 100%基础生命回复 狂徒之心 如果你拥有2000额外生命值，并且在8秒内没有受到伤害，则每秒回复0生命值。 狂徒之活力 获得额外生命值，相当于你12%的装备生命值(0)。
3084,心之钢,3000,true,false,hp,,,on_hit;damage_modifier,future_full_item_passive_review,future_tooltip_review,,击杀或助攻时回复生命值 900生命值 100%基础生命回复 庞然吞食 每个目标(0秒) 如果一个敌方英雄在附近度过了若干秒，那么你的下一次对其打出的攻击会造成70外加你的6%最大生命值的额外物理伤害，并为你提供相当于8%该伤害的最大生命值。 歌利亚巨人 每有1000最大生命值，获得3%体型提升，至多至30%。
3085,卢安娜的飓风,2650,true,true,attack_speed;crit_chance;ms_pct,,,on_hit;crit;damage_modifier,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,远程攻击会对目标身边的2个敌人发射弩箭 40%攻击速度 25%暴击几率 4%移动速度 风怒 攻击对目标附近的2个额外敌人发射弩箭。 每根弩箭造成物理伤害并施加攻击特效。
3086,狂热,1200,true,false,attack_speed;crit_chance;ms_pct,,,crit,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升暴击几率，移动速度和攻击速度 15%攻击速度 15%暴击几率 4%移动速度
3087,斯塔缇克电刃,3000,true,true,ad;ap;attack_speed;ms_pct,,,charge,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,移动时积攒充能来让普攻附带一次闪电 45攻击力 30%攻击速度 4%移动速度 电火花 攻击命中时会触发连锁闪电，造成魔法伤害，有冷却时间。 电击 在对目标造成伤害的3秒内参与击杀，会重置电火花的冷却时间。
3089,灭世者的死亡之帽,3500,true,false,ap,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,巨幅提升法术强度 130法术强度 魔法乐章 使你的总法术强度提升30%。
3091,智慧末刃,2800,true,true,attack_speed;magic_resist;tenacity,item_3091_wits_end_on_hit_dps_v2,item_3091_wits_end_on_hit_dps_v2:attacker:damage,on_hit;damage_modifier,live_dps_passive_present,keep_regression,BatchC_stats;BatchU_real_equipment,普攻造成魔法伤害并抓回你的生命值。 50%攻击速度 45魔法抗性 20%韧性 喧争 普攻造成额外魔法伤害 攻击特效。
3094,疾射火炮,2650,true,true,attack_speed;crit_chance;ms_pct,item_3094_rapid_firecannon_energized_dps_v2,item_3094_rapid_firecannon_energized_dps_v2:attacker:damage,on_hit;crit;damage_modifier;charge,live_dps_passive_present,keep_regression,BatchC_stats;FullItem3094_static_text;FullItem3094_current_wasm_20260615,移动时积攒充能来释放一次攻城炮击 35%攻击速度 25%暴击几率 4%移动速度 神射手 你的盈能攻击造成40额外魔法伤害并获得35%额外攻击距离。
